"Fcilty_nam","Street_add","Locality","Postcode","Ycoord","Xcoord","uuid"
"Sprouts Market","555 W. Main St","Norman, OK","73069","35.218817","-97.45053899999999","537"
"Sprouts Market","10111 S. Memorial Dr","Tulsa, OK","74133","36.0161442","-95.8856955","538"
"Sprouts Market","4123 S. Harvard Ave","Tulsa, OK","74135","36.1031787","-95.93883289999997","539"
"Sprouts Market","12200 N. MacArthur Blvd","Oklahoma City, OK","73142","35.5933251","-97.61963249999997","540"
"Sprouts Market","1105 Garth Brooks Blvd","Yukon, OK","73099","35.4919115","-97.75849840000001","541"
"Sprouts Market","909 W. 6th Ave","Stillwater, OK","74074","36.1152585","-97.07029","542"
"Sprouts Market","6410 N. May Ave","Oklahoma City, OK","73116","35.5373529","-97.5647851","543"
"Sprouts Market","24 E. 2nd St","Edmond, OK","73034","35.6523423","-97.48048260000002","544"
"Sprouts Market","851 E. Hillside Dr","Tulsa, OK","4012","36.0670592","-95.78123260000001","545"
"Sprouts Market","9601 N. 133rd Ave East","Owasso, OK","74055","36.2944513","-95.82604659999998","546"
"Whole Wheatery","44264 10TH STREET WEST","Lancaster,CA","93534","34.6878391","-118.14713970000003","547"
"Berkeley Bowl","920 HEINZ AVE","Berkeley,CA","94703","37.8533335","-122.29023740000002","548"
"Berkeley Bowl","2020 OREGON STREET","Berkeley,CA","94703","37.8570385","-122.2672435","549"
"Gelson's","10250 SANTA MONICA BLVD","LOS ANGELES,CA","90067","34.0587567","-118.419015","550"
"Gelson's","13455 MAXELLA AVE","MARINA DEL RAY,CA","90292","33.9869416","-118.44184239999998","551"
"Gelson's","5521 ALTON PRKWY","IRVINE,CA","92618","33.6702916","-117.7867501","552"
"Oliver's Market","560 MONTECITO CENTER","Santa Rosa,CA","95409","38.4745326","-122.67347719999998","553"
"Oliver's Market","461 STONY POINT ROAD","Santa Rosa,CA","95401","38.4326292","-122.74377730000003","554"
"Oliver's Market","546 E COTATI AVE","Cotati,CA","94931","38.3279714","-122.69791800000002","555"
"Oliver's Market","9230 OLD REDWOOD HIGHWAY","Windsor,CA","95492","38.549177","-122.8112802","556"
"Mollie Stone's","1477 Chapin Ave","Burlingame,CA","94010","37.5771783","-122.35039219999999","557"
"Country Sun","440 S. CALIFORNIA AVENUE","Palo Alto,CA","94306","37.42616460000001","-122.14537760000002","558"
"LA SENDA NATUROPATHIC CLINIC","46 DUNDAS STREET EAST","NAPANEE,ON","K7R 1H8","44.2481392","-76.94862510000002","559"
"THE HEALTH SHOPPE  YONGE ST","1375 A YONGE ST.","TORONTO,ON","M4T 1Y4","43.6868145","-79.3932767","560"
"PURE NATURE","5841 MALDEN RD","LASALLE,ON","N9H 1S3","42.2486158","-83.06174850000002","561"
"NATURAL FOOD PANTRY-RIVERSIDE","2277 RIVERSIDE DRIVE","OTTAWA,ON","45.3855413","-75.67746249999999","562"
